term,coef,se,t,p,ci_low,ci_high
Intercept,46.971626114128135,0.2749713330119488,170.8237204206556,0.0,46.43269220464374,47.51056002361253
C(year)[T.2016.0],1.8662386066102101,0.9539994382253019,1.9562261064659754,0.05043852444765479,-0.0035659335828257532,3.736043146803246
C(year)[T.2017.0],1.944927397814375,2.545531577274224,0.7640554983399653,0.444834170415245,-3.0442228151525415,6.934077610781292
C(year)[T.2018.0],0.7611645927508128,0.7229506003593694,1.0528583728576306,0.2924059069382914,-0.6557925465551611,2.1781217320567867
C(year)[T.2019.0],3.8658726292882584,0.4954317941319017,7.803037017561745,6.0434812856563e-15,2.8948441559936686,4.836901102582848
C(year)[T.2020.0],2.2746766239036447,0.48737019861919906,4.667246028477289,3.052637217393452e-06,1.3194485874718818,3.2299046603354076
C(year)[T.2021.0],3.1962325744055313,0.563951666893105,5.667564725917133,1.4484134767127043e-08,2.090907618273716,4.301557530537346
C(year)[T.2022.0],3.3560804804962636,0.5757357292293775,5.82920307028431,5.569269800075917e-09,2.227659186593779,4.484501774398748
C(year)[T.2023.0],3.6268548554817137,0.5986884986211463,6.057999884472158,1.3782449534666117e-09,2.453446960225909,4.800262750737518
C(year)[T.2024.0],5.653013796590637,1.1109412550273605,5.088490296862198,3.6092524500496864e-07,3.4756089477972827,7.830418645383991
C(year)[T.2025.0],5.169589530959271,0.8222595192166577,6.287053430386779,3.2354804636564915e-10,3.557990487349402,6.781188574569141
log_params,0.6932356766702955,0.0840847439335273,8.244488170390682,1.6586866578091066e-16,0.5284326069113092,0.8580387464292818
